ds,yhat,yhat_lower,yhat_upper
2019-10-25,-127135915.80247964,-613367420.9345616,381055496.19192296
2019-10-26,-129737920.53002314,-616520031.5603515,380256587.2695363
2019-10-27,-130154880.29532528,-618579237.0013638,381644298.4930768
2019-10-28,-131238204.92138876,-621408732.654229,382421812.7717921
2019-10-29,-132329525.90874504,-623842534.0947583,383059387.1275364
2019-10-30,-133050451.47835073,-626715777.6952938,384550147.1925698
2019-10-31,-133697537.25899057,-629570233.0276568,386401447.9059683
2019-11-01,-132901632.82019868,-631283104.6513819,389732312.85345054
2019-11-02,-135416291.78325203,-636019769.7798686,389818958.92104053
2019-11-03,-135744060.66139108,-638169142.7626139,392030480.8249567
2019-11-04,-136733072.30623153,-640980331.2906901,393547089.19086283
2019-11-05,-137720938.53269255,-644360724.0374812,395167574.0731379
2019-11-06,-138324735.66155326,-647296776.9699432,397276076.3719075
2019-11-07,-138836234.840049,-650091184.5647215,399447202.47836506
2019-11-08,-137881527.3919714,-651434218.0443125,403084928.5284245
2019-11-09,-140209722.09385276,-656065106.9107641,402490738.3445783
2019-11-10,-140319518.17805335,-658410536.3489668,404692773.3606124
2019-11-11,-141056068.46919248,-661290564.2650682,405739044.23384035
2019-11-12,-141755116.0410788,-663565043.8546579,408312037.0768981
2019-11-13,-142033187.6350031,-664946585.6313727,410465808.0268876
2019-11-14,-142182986.27471545,-667734391.7259419,411097706.44402593
2019-11-15,-140833125.3328075,-669207851.2510186,414850002.0906479
2019-11-16,-142736874.6913962,-673108446.6795781,415299655.0803663
2019-11-17,-142398718.54733503,-674752254.0234668,417388713.72770685
2019-11-18,-142671137.21929052,-677057707.9461184,419960860.1002939
2019-11-19,-142898596.62318996,-679164511.7961985,422723654.40157115
2019-11-20,-142707531.3166291,-680968384.7084551,425467210.882672
2019-11-21,-142401468.5591709,-682830978.0406727,428319283.9008417
2019-11-22,-140620442.8996621,-683295001.9040488,432543591.0317876
2019-11-23,-142129381.2488287,-686959430.5849268,433408150.8768069
2019-11-24,-141444269.10258117,-688171272.5075389,436496765.7802528
2019-11-25,-141428522.86353663,-689833239.1765257,438903272.5968329
2019-11-26,-141436565.60920522,-691801798.9100943,441329786.7397058
2019-11-27,-141103406.5529038,-693923125.0302498,445137159.0570275
